"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","411","Admin can not login with wrong credentials","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.AdminTestRunner","Admin","testrunner.AdminTestRunner","adminLoginWrongCreds"
"","213","User gets item list","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.UserTestRunner","User","testrunner.UserTestRunner","userGetItemList"
"","1063","Admin search user by incorrect Id","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.AdminTestRunner","Admin","testrunner.AdminTestRunner","searchUserByIncorrectId"
"","401","Existing user can not register(duplicate email)","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.RegistrationTestRunner","Registration","testrunner.RegistrationTestRunner","existingUserRegistration"
"","1330","Register new user (Mandatory field)","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.RegistrationTestRunner","Registration","testrunner.RegistrationTestRunner","userRegistrationMandatoryField"
"","410","Admin can login with valid credentials","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.AdminTestRunner","Admin","testrunner.AdminTestRunner","adminLoginCorrectCreds"
"","231","User deletes item","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.UserTestRunner","User","testrunner.UserTestRunner","userDeleteItem"
"","275","User can add any item","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.UserTestRunner","User","testrunner.UserTestRunner","addItem"
"","560","User login","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.UserTestRunner","User","testrunner.UserTestRunner","doLogin"
"","243","User edits item","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.UserTestRunner","User","testrunner.UserTestRunner","userEditItem"
"","494","Admin can search user by his Id","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.AdminTestRunner","Admin","testrunner.AdminTestRunner","searchUserById"
"","3297","Register new user","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.RegistrationTestRunner","Registration","testrunner.RegistrationTestRunner","userRegistration"
"","540","Admin update user information","Default Suite","2026-01-12","passed","2026-01-12","testrunner.AdminTestRunner","dmoney_rest_assured_b16","testrunner.AdminTestRunner","updateUserInfo"
"","3061","Admin can get user list","Daily Finance API Automation","2026-01-12","passed","2026-01-12","testrunner.AdminTestRunner","Admin","testrunner.AdminTestRunner","userList"
